,subscribers,youtuber,video_views,channel_category,channel_uploads,country,lowest_yearly_earnings,highest_yearly_earnings,created_year,tertiary_education_enrollment,population,unemployment_rate,channel_type,Latitude,Longitude,region
0,245000000,T-Series,228000000000.0,Music,20082,India,6800000.0,108400000.0,2006,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
1,170000000,YouTube Movies,0.0,Media,1,United States,0.04,0.58,2006,88.2,328239523.0,14.7,Games,37.09024,-95.712891,N.America
2,166000000,MrBeast,28368841870.0,Entertainment,741,United States,4000000.0,64700000.0,2012,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
3,162000000,Cocomelon - Nursery Rhymes,164000000000.0,Education,966,United States,5900000.0,94800000.0,2006,88.2,328239523.0,14.7,Education,37.09024,-95.712891,N.America
4,159000000,SET India,148000000000.0,Media,116536,India,5500000.0,87500000.0,2006,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
6,112000000,ýýý Kids Diana Show,93247040539.0,Lifestyle,1111,United States,2200000.0,35100000.0,2015,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
7,111000000,PewDiePie,29058044447.0,Gaming & Sports,4716,Japan,117600.0,1900000.0,2010,63.2,126226568.0,2.29,Entertainment,36.204824,138.252924,Asia
8,106000000,Like Nastya,90479060027.0,Lifestyle,493,Russia,146800.0,2300000.0,2016,81.9,144373535.0,4.59,People,61.52401,105.318756,Europe
9,98900000,Vlad and Niki,77180169894.0,Entertainment,574,United States,1700000.0,27900000.0,2018,88.2,328239523.0,14.7,Entertainment,37.09024,-95.712891,N.America
10,96700000,Zee Music Company,57856289381.0,Music,8548,India,2400000.0,38600000.0,2014,28.1,1366417754.0,5.36,Music,20.593684,78.96288,Asia
11,96000000,WWE,77428473662.0,Gaming & Sports,70127,United States,2100000.0,34300000.0,2007,88.2,328239523.0,14.7,Sports,37.09024,-95.712891,N.America
13,89800000,BLACKPINK,32144597566.0,Lifestyle,543,South Korea,1500000.0,23900000.0,2016,94.3,51709098.0,4.15,Music,35.907757,127.766922,Asia
15,83000000,Sony SAB,101000000000.0,Media,71270,India,5000000.0,79600000.0,2007,28.1,1366417754.0,5.36,Entertainment,20.593684,78.96288,Asia
