subscribers,video views,category,uploads,Country,channel_type,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,Gross tertiary education enrollment (%),Population,Unemployment rate
245000000,228000000000.0,Music,20082,India,Music,6800000.0,108400000.0,2006.0,Mar,28.1,1366417754.0,5.36
170000000,0.0,Film & Animation,1,United States,Games,0.04,0.58,2006.0,Mar,88.2,328239523.0,14.7
166000000,28368841870.0,Entertainment,741,United States,Entertainment,4000000.0,64700000.0,2012.0,Feb,88.2,328239523.0,14.7
162000000,164000000000.0,Education,966,United States,Education,5900000.0,94800000.0,2006.0,Sep,88.2,328239523.0,14.7
159000000,148000000000.0,Shows,116536,India,Entertainment,5500000.0,87500000.0,2006.0,Sep,28.1,1366417754.0,5.36
112000000,93247040539.0,People & Blogs,1111,United States,Entertainment,2200000.0,35100000.0,2015.0,May,88.2,328239523.0,14.7
111000000,29058044447.0,Gaming,4716,Japan,Entertainment,117600.0,1900000.0,2010.0,Apr,63.2,126226568.0,2.29
106000000,90479060027.0,People & Blogs,493,Russia,People,146800.0,2300000.0,2016.0,Jan,81.9,144373535.0,4.59
98900000,77180169894.0,Entertainment,574,United States,Entertainment,1700000.0,27900000.0,2018.0,Apr,88.2,328239523.0,14.7
96700000,57856289381.0,Music,8548,India,Music,2400000.0,38600000.0,2014.0,Mar,28.1,1366417754.0,5.36
96000000,77428473662.0,Sports,70127,United States,Sports,2100000.0,34300000.0,2007.0,May,88.2,328239523.0,14.7
89800000,32144597566.0,People & Blogs,543,South Korea,Music,1500000.0,23900000.0,2016.0,Jun,94.3,51709098.0,4.15
83000000,101000000000.0,Shows,71270,India,Entertainment,5000000.0,79600000.0,2007.0,Aug,28.1,1366417754.0,5.36
80100000,26236790209.0,Howto & Style,1,United Kingdom,Entertainment,0.0,0.05,2020.0,Jul,60.0,66834405.0,3.85
75600000,20826993957.0,Music,2281,South Korea,Music,504900.0,8100000.0,2012.0,Dec,94.3,51709098.0,4.15
71600000,30608119724.0,Music,249,Canada,Music,529000.0,8500000.0,2007.0,Jan,68.9,36991981.0,5.56
71300000,28634566938.0,Music,1337,South Korea,Music,1800000.0,28700000.0,2008.0,Jun,94.3,51709098.0,4.15
70500000,73139054467.0,Entertainment,129204,India,Entertainment,5100000.0,81900000.0,2005.0,Dec,28.1,1366417754.0,5.36
68200000,38843229963.0,Education,2865,United States,Education,1400000.0,22700000.0,2011.0,Dec,88.2,328239523.0,14.7
66500000,36775585925.0,Music,2572,Brazil,Music,0.0,0.0,2012.0,Mar,51.3,212559417.0,12.08
65900000,45757850229.0,Education,633,India,Education,1300000.0,20200000.0,2013.0,Feb,28.1,1366417754.0,5.36
65600000,28648024439.0,Music,8502,India,Music,764900.0,12200000.0,2010.0,Jun,28.1,1366417754.0,5.36
64600000,61510906457.0,Shows,112915,India,Entertainment,3600000.0,57000000.0,2008.0,Jun,28.1,1366417754.0,5.36
61000000,29533230328.0,Music,13,India,Music,0.03,0.48,2018.0,Aug,28.1,1366417754.0,5.36
59500000,16241549158.0,Sports,389,United States,Sports,423600.0,6800000.0,2009.0,Mar,88.2,328239523.0,14.7
59500000,59316472754.0,Film & Animation,39113,United States,Film,344000.0,5500000.0,2006.0,Apr,88.2,328239523.0,14.7
59300000,33431802698.0,Music,4741,India,Music,1300000.0,20300000.0,2007.0,May,28.1,1366417754.0,5.36
58400000,57271630846.0,Music,1510,Argentina,Music,1800000.0,29400000.0,2011.0,Jun,90.0,44938712.0,9.79
58000000,40602020243.0,Music,19487,India,Music,696100.0,11100000.0,2014.0,Oct,28.1,1366417754.0,5.36
57600000,25307753534.0,News & Politics,283775,India,News,1400000.0,22100000.0,2009.0,Aug,28.1,1366417754.0,5.36
57200000,28837144516.0,Music,3882,India,Music,777900.0,12400000.0,2009.0,Sep,28.1,1366417754.0,5.36
56900000,27073872856.0,Music,156,United States,Music,780600.0,12500000.0,2007.0,Feb,88.2,328239523.0,14.7
56400000,14696003229.0,Entertainment,436,United States,Music,336300.0,5400000.0,2015.0,Apr,88.2,328239523.0,14.7
54600000,35302243691.0,Film & Animation,3707,India,Music,1500000.0,24600000.0,2006.0,Jun,28.1,1366417754.0,5.36
53500000,30367676736.0,Music,383,United Kingdom,Music,608200.0,9700000.0,2006.0,Aug,60.0,66834405.0,3.85
53300000,30516172739.0,Education,577,India,Education,2400000.0,39200000.0,2014.0,Jun,28.1,1366417754.0,5.36
52900000,29884657286.0,Music,216,United States,Music,1600000.0,25400000.0,2006.0,Sep,88.2,328239523.0,14.7
52700000,24004842608.0,Music,147,United States,Music,480600.0,7700000.0,2007.0,Jan,88.2,328239523.0,14.7
52200000,9877365274.0,Education,847,United States,Education,800200.0,12800000.0,2013.0,Oct,88.2,328239523.0,14.7
48100000,14631710289.0,Gaming,2052,Chile,Games,199200.0,3200000.0,2013.0,May,88.5,18952038.0,7.09
47900000,13626331061.0,Music,65,United States,Music,440600.0,7000000.0,2013.0,Feb,88.2,328239523.0,14.7
47500000,30788679536.0,Entertainment,3322,Russia,Film,919600.0,14700000.0,2006.0,Dec,81.9,144373535.0,4.59
47400000,22519705183.0,Entertainment,11451,India,Entertainment,698200.0,11200000.0,2007.0,Sep,28.1,1366417754.0,5.36
46600000,27286058807.0,Music,3444,United States,Music,943500.0,15100000.0,2009.0,Sep,88.2,328239523.0,14.7
46300000,22936630813.0,Gaming,1,Cuba,People,0.28,5.0,2006.0,Mar,41.4,11333483.0,1.64
46100000,10323391593.0,Gaming,543,El Salvador,Games,101500.0,1600000.0,2011.0,May,29.4,6453553.0,4.11
45500000,21388725229.0,Entertainment,4660,India,Entertainment,702000.0,11200000.0,2016.0,Nov,28.1,1366417754.0,5.36
45200000,16602198273.0,Entertainment,4331,Brazil,Entertainment,391100.0,6300000.0,2006.0,May,51.3,212559417.0,12.08
44700000,7828610828.0,Entertainment,1558,Brazil,Entertainment,144100.0,2300000.0,2013.0,Sep,51.3,212559417.0,12.08
44600000,41139050371.0,Entertainment,100755,Pakistan,Entertainment,4000000.0,64200000.0,2008.0,Jan,9.0,216565318.0,4.45
44200000,25458952022.0,Music,128,United States,Music,402700.0,6400000.0,2008.0,Jun,88.2,328239523.0,14.7
44200000,4274709210.0,Comedy,558,Brazil,Comedy,80100.0,1300000.0,2013.0,Jan,51.3,212559417.0,12.08
44200000,50292540392.0,People & Blogs,193890,Philippines,Entertainment,529900.0,8500000.0,2008.0,Jul,35.5,108116615.0,2.15
43700000,12884264778.0,Music,8,Thailand,Film,0.07,1.0,2006.0,May,49.3,69625582.0,0.75
43500000,27568757295.0,People & Blogs,326,Colombia,Howto,1100000.0,17000000.0,2005.0,Oct,55.3,50339443.0,9.71
43200000,36458726976.0,Film & Animation,1478,Russia,Education,911300.0,14600000.0,2011.0,May,81.9,144373535.0,4.59
43200000,37939780685.0,Entertainment,109871,Pakistan,Entertainment,3400000.0,55200000.0,2016.0,Jul,9.0,216565318.0,4.45
42500000,26820902622.0,Music,10938,India,Music,479300.0,7700000.0,2012.0,Nov,28.1,1366417754.0,5.36
42400000,24519022988.0,Shows,1218,United States,Film,2000000.0,32200000.0,2014.0,Sep,88.2,328239523.0,14.7
42400000,19547696190.0,Entertainment,618,United States,Entertainment,159600.0,2600000.0,2017.0,Nov,88.2,328239523.0,14.7
41900000,22477745835.0,Entertainment,84,Barbados,Music,548800.0,8800000.0,2005.0,Nov,65.4,287025.0,10.33
41400000,17608931161.0,Trailers,4510,India,Music,542800.0,8700000.0,2005.0,Sep,28.1,1366417754.0,5.36
41300000,5603111948.0,People & Blogs,291,Mexico,People,410200.0,6600000.0,2016.0,Nov,40.2,126014024.0,3.42
40900000,39450824833.0,Education,2423,United States,Education,296300.0,4700000.0,2011.0,Jun,88.2,328239523.0,14.7
40600000,8670473639.0,Comedy,0,Mexico,Comedy,0.0,0.0,2010.0,Jun,40.2,126014024.0,3.42
39700000,23884824160.0,People & Blogs,1596,United Arab Emirates,People,743200.0,11900000.0,2017.0,Nov,36.8,9770529.0,2.35
39200000,3294013141.0,Comedy,186,India,Comedy,236100.0,3800000.0,2014.0,Oct,28.1,1366417754.0,5.36
39200000,10507474316.0,Music,133,United States,Music,175100.0,2800000.0,2015.0,Jun,88.2,328239523.0,14.7
39200000,44900897958.0,Education,744,Canada,Education,1700000.0,26900000.0,2006.0,Sep,68.9,36991981.0,5.56
39100000,16118181673.0,Gaming,1876,Spain,Games,792300.0,12700000.0,2015.0,Jul,88.9,47076781.0,13.96
39000000,36131228583.0,Entertainment,72580,Thailand,Entertainment,391400.0,6300000.0,2012.0,Nov,49.3,69625582.0,0.75
38900000,25154232306.0,Music,3043,Brazil,Music,4900000.0,78500000.0,2014.0,Aug,51.3,212559417.0,12.08
38600000,7339333120.0,Nonprofits & Activism,200933,United States,Nonprofit,136900.0,2200000.0,2009.0,Jun,88.2,328239523.0,14.7
38400000,21528116909.0,People & Blogs,982,Saudi Arabia,Games,4800.0,76300.0,2018.0,May,68.0,34268528.0,5.93
38300000,16718192386.0,Music,3532,India,Music,2400000.0,39100000.0,2015.0,Aug,28.1,1366417754.0,5.36
38200000,13598903820.0,Music,11,United States,Music,19.0,305.0,2016.0,Jun,88.2,328239523.0,14.7
38200000,22756581750.0,Entertainment,15672,United States,Entertainment,65400.0,1000000.0,2006.0,Nov,88.2,328239523.0,14.7
38200000,28519339489.0,Shows,24089,India,Entertainment,1200000.0,20000000.0,2014.0,May,28.1,1366417754.0,5.36
38000000,22731415608.0,Music,505,United States,Music,616800.0,9900000.0,2011.0,May,88.2,328239523.0,14.7
37600000,18208196857.0,Entertainment,743,United States,Entertainment,963100.0,15400000.0,2017.0,Apr,88.2,328239523.0,14.7
37500000,27262462114.0,Entertainment,117152,Thailand,Entertainment,422300.0,6800000.0,2013.0,Jan,49.3,69625582.0,0.75
37200000,16402066717.0,Comedy,220,India,Comedy,149600.0,2400000.0,2017.0,Mar,28.1,1366417754.0,5.36
37000000,13102611515.0,People & Blogs,301308,India,News,801200.0,12800000.0,2012.0,Jun,28.1,1366417754.0,5.36
37000000,24188861917.0,People & Blogs,744,Brazil,Entertainment,754300.0,12100000.0,2015.0,Sep,51.3,212559417.0,12.08
36700000,19378155425.0,Music,99,United States,Music,525700.0,8400000.0,2006.0,Sep,88.2,328239523.0,14.7
36600000,22553923546.0,Music,171,United States,Music,458500.0,7300000.0,2006.0,Mar,88.2,328239523.0,14.7
36600000,15653786446.0,Trailers,9168,India,Entertainment,0.0,0.0,2009.0,Oct,28.1,1366417754.0,5.36
36300000,3010784935.0,News & Politics,744,United States,Entertainment,63300.0,1000000.0,1970.0,Jan,88.2,328239523.0,14.7
35700000,27118354077.0,Music,654,Argentina,Music,906200.0,14500000.0,2013.0,Jun,90.0,44938712.0,9.79
35500000,15657673422.0,Entertainment,7566,India,Music,1600000.0,25600000.0,2013.0,Jan,28.1,1366417754.0,5.36
35500000,16105023749.0,News & Politics,273255,India,News,872500.0,14000000.0,2006.0,Aug,28.1,1366417754.0,5.36
